NEIGHBOURHOOD,COMPOSITE_LIVABILITY_SCORE,LIVABILITY_RANK,HOUSING_AFFORDABILITY_SCORE,TRANSIT_ACCESSIBILITY_SCORE,TRANSIT_COVERAGE_SCORE,CRIME_SAFETY_SCORE,ANOMALY_SAFETY_SCORE,AVG_HOUSING_PRICE,PCT_TRANSIT_ACCESSIBLE,TOTAL_TRANSIT_TRIPS,TOTAL_CRIME_INCIDENTS,CRIME_ANOMALY_RATE_PCT
Victoria-Fraserview,53.3,15,87.45,2.89,8.12,96.97,45.00,1169400,21877.66,2386,498,12.10
Kerrisdale,50.18,16,58.03,15.24,11.58,98.49,76.80,1872733.33333333,26384.21,2869,344,10.51
Riley Park,49.36,17,78.93,0.38,3.49,96.10,40.00,1373000,20964.29,1739,586,12.35
Shaughnessy,38.27,21,28.6,1.71,3.47,100.00,100.00,2576300,21447.92,1736,191,9.35
Arbutus-Ridge,31.93,22,0,4.47,4.42,99.77,94.00,3260200,22456.60,1869,214,9.65
Marpole,62.45,7,75.09,41.71,25.20,94.02,34.60,1464800,36037.33,4772,796,12.62
West End,60.43,8,99.4,44.19,10.86,74.55,18.00,883650,36943.48,2769,2766,13.45
Renfrew-Collingwood,60.2,9,91.94,17.75,44.55,79.57,13.00,1061966.66666667,27300.00,7476,2258,13.70
Kitsilano,65.13,4,73.36,56.61,26.55,91.10,0.00,1506100,41472.22,4960,1092,14.35
Killarney,64.32,5,92.61,8.71,49.13,97.21,56.00,1045966.66666667,24001.11,8115,473,11.55
Strathcona,64.02,6,93.73,51.83,17.99,80.09,14.80,1019133.33333333,39726.92,3765,2205,13.61
Grandview-Woodland,57.58,10,86.78,31.27,9.30,87.37,6.20,1185433.33333333,32230.56,2551,1469,14.04
Dunbar-Southlands,56.26,11,60.58,28.08,21.88,99.08,64.60,1811650,31065.38,4308,284,11.12
Fairview,74.64,1,99.56,48.50,57.59,87.01,3.80,879850,38512.50,9298,1505,14.16
Downtown,70,2,100,100.00,100.00,0.00,69.60,869250,57296.40,15223,10309,10.87
Mount Pleasant,68.98,3,84.62,50.03,53.97,81.76,9.00,1237083.33333333,39071.08,8791,2037,13.90
Hastings-Sunrise,55.02,12,92.57,0.00,20.53,92.57,14.20,1046900,20825.35,4119,943,13.64
Sunset,54.71,13,80.6,13.68,20.21,90.32,19.80,1333000,25814.55,4075,1170,13.36
Oakridge,53.99,14,52.73,23.09,27.05,98.76,61.00,1999400,29247.22,5031,316,11.30
Kensington-Cedar Cottage,49.27,18,78.09,7.93,9.40,86.28,9.00,1393000,23717.81,2564,1579,13.90
South Cambie,49.1,19,42.47,26.34,11.22,98.85,93.00,2244766.66666667,30430.77,2819,307,9.70
West Point Grey,45.56,20,54.04,8.82,0.00,99.48,92.80,1968200,24041.67,1251,244,9.71
